Protein.names,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
10E8 light chain variable region,22338.57536,NA,5175.324325,20508.22203,NA,24104.09984,47112.19868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37944.84641,NA,NA,NA,NA,NA
10E8 light chain variable region (IGL c3101_light_IGLV3-19_IGLJ2),11169.28768,NA,NA,10254.11102,NA,12052.04992,23556.09934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18972.4232,NA,NA,NA,NA,NA
2-hydroxyacyl-CoA lyase (EC 4.1.2.63),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286.6606342
"3'-5' exoribonuclease HELZ2 (EC 3.1.13.1) (ATP-dependent RNA helicase PRIC285) (EC 3.6.4.13) (Helicase with zinc finger 2, transcriptional coactivator) (Helicase with zinc finger domain 2) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1437.708119,NA,NA,NA,NA,NA
48 kDa protein,NA,NA,NA,NA,NA,48811.88537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78 kDa glucose-regulated protein (Binding-immunoglobulin protein) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),NA,NA,1134.526313,NA,NA,NA,1401.725351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1613.080425,NA
A kinase (PRKA) anchor protein 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5898.596896
A-kinase anchor protein 9 (AKAP-9) (A-kinase anchor protein 350 kDa) (AKAP 350) (hgAKAP 350) (A-kinase anchor protein 450 kDa) (AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein) (CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9) (PRKA9) (Protein yotiao),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580.36209,NA,NA,NA,NA
A-kinase anchoring protein 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1450.905225,NA,NA,NA,NA
ACTG1 protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.56614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACX136,NA,NA,NA,NA,NA,24458.87531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38027.82095,NA,14870.21828,NA,NA,NA,NA,NA,NA
ACX82,144170.9778,98625.93951,138266.9148,74656.81583,123171.3532,NA,NA,NA,NA,78333.88554,92368.09271,NA,35957.23126,NA,79869.79604,NA,190250.4395,101633.1762,NA,180090.19,85576.23603,NA,NA,NA,136301.5408,76206.15666,104671.2696,114908.7458,124807.1871,166954.7335
AEP3B2,NA,NA,256605.3752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138305.9732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125814.2249
AMP deaminase 3 (EC 3.5.4.6) (AMP deaminase isoform E) (Erythrocyte AMP deaminase),NA,NA,NA,NA,2330.144053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANKRD36 protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,2955.424053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APOB protein,NA,NA,NA,NA,NA,NA,NA,NA,49371.18395,NA,160153.8608,64651.47918,NA,NA,NA,NA,NA,NA,87259.85398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APOL1,3410.21381,NA,NA,NA,NA,NA,805.9103918,NA,NA,NA,NA,NA,NA,NA,NA,267.858213,NA,NA,NA,NA,NA,6662.549947,14282.35081,NA,NA,NA,NA,NA,NA,10857.29402
APOL1 protein,1023.064143,2971.523295,18930.54144,NA,NA,8105.843705,241.7731176,NA,9585.455445,4854.193291,22403.24095,36970.19624,NA,NA,2211.836207,80.35746391,1574.525898,16963.53882,75130.02588,23299.6548,NA,1998.764984,4284.705242,21390.20694,17604.80047,8994.261707,26965.32598,20258.92747,17693.24416,3619.098005
ATIII-T1,NA,NA,NA,13401.3438,NA,NA,NA,24929.09343,37745.65613,NA,NA,NA,58022.79652,NA,9175.145391,NA,15263.05889,NA,NA,NA,NA,12.38671455,24906.37594,NA,13137.32296,NA,7463.009373,NA,NA,NA
