Entry,Gene Names,Protein names,Query_original,Query_clean
A0A193CHS1,,10E8 light chain variable region,10E8 light chain variable region,10E8 light chain variable region
A0A193CHR8,,10E8 light chain variable region,10E8 light chain variable region,10E8 light chain variable region
A0A193CHS2,,10E8 light chain variable region,10E8 light chain variable region,10E8 light chain variable region
A0A193CHR5,,10E8 light chain variable region (IGL c3101_light_IGLV3-19_IGLJ2),10E8 light chain variable region,10E8 light chain variable region
A0A193CHS1,,10E8 light chain variable region,10E8 light chain variable region (IGL c3101_light_IGLV3-19_IGLJ2),10E8 light chain variable region
A0A193CHR8,,10E8 light chain variable region,10E8 light chain variable region (IGL c3101_light_IGLV3-19_IGLJ2),10E8 light chain variable region
A0A193CHS2,,10E8 light chain variable region,10E8 light chain variable region (IGL c3101_light_IGLV3-19_IGLJ2),10E8 light chain variable region
A0A193CHR5,,10E8 light chain variable region (IGL c3101_light_IGLV3-19_IGLJ2),10E8 light chain variable region (IGL c3101_light_IGLV3-19_IGLJ2),10E8 light chain variable region
A1L0T0,HACL2 AHAS ILVBL,2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein),2-hydroxyacyl-CoA lyase (EC 4.1.2.63),2-hydroxyacyl-CoA lyase
Q9UJ83,HACL1 HPCL HPCL2 PHYH2 HSPC279,2-hydroxyacyl-CoA lyase 1 (EC 4.1.2.63) (2-hydroxyphytanoyl-CoA lyase) (2-HPCL) (Phytanoyl-CoA 2-hydroxylase 2),2-hydroxyacyl-CoA lyase (EC 4.1.2.63),2-hydroxyacyl-CoA lyase
B3KPX4,HACL1 PHYH2 hCG_1811148,2-hydroxyacyl-CoA lyase (EC 4.1.2.63),2-hydroxyacyl-CoA lyase (EC 4.1.2.63),2-hydroxyacyl-CoA lyase
B4DXR1,,2-hydroxyacyl-CoA lyase (EC 4.1.2.63),2-hydroxyacyl-CoA lyase (EC 4.1.2.63),2-hydroxyacyl-CoA lyase
B4DRJ1,,2-hydroxyacyl-CoA lyase (EC 4.1.2.63),2-hydroxyacyl-CoA lyase (EC 4.1.2.63),2-hydroxyacyl-CoA lyase
Q9BYK8,HELZ2 KIAA1769 PRIC285,"3'-5' exoribonuclease HELZ2 (EC 3.1.13.1) (ATP-dependent RNA helicase PRIC285) (EC 3.6.4.13) (Helicase with zinc finger 2, transcriptional coactivator) (Helicase with zinc finger domain 2) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein)","3'-5' exoribonuclease HELZ2 (EC 3.1.13.1) (ATP-dependent RNA helicase PRIC285) (EC 3.6.4.13) (Helicase with zinc finger 2, transcriptional coactivator) (Helicase with zinc finger domain 2) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein)",3'-5' exoribonuclease HELZ2
A7E2C9,PRIC285,3'-5' exoribonuclease HELZ2 (EC 3.1.13.1) (EC 3.6.4.13) (ATP-dependent RNA helicase PRIC285) (PPAR-gamma DNA-binding domain-interacting protein 1),"3'-5' exoribonuclease HELZ2 (EC 3.1.13.1) (ATP-dependent RNA helicase PRIC285) (EC 3.6.4.13) (Helicase with zinc finger 2, transcriptional coactivator) (Helicase with zinc finger domain 2) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein)",3'-5' exoribonuclease HELZ2
A0AAA9XBX5,HELZ2,3'-5' exoribonuclease HELZ2 (EC 3.1.13.1) (EC 3.6.4.13) (ATP-dependent RNA helicase PRIC285) (PPAR-gamma DNA-binding domain-interacting protein 1),"3'-5' exoribonuclease HELZ2 (EC 3.1.13.1) (ATP-dependent RNA helicase PRIC285) (EC 3.6.4.13) (Helicase with zinc finger 2, transcriptional coactivator) (Helicase with zinc finger domain 2) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein)",3'-5' exoribonuclease HELZ2
Q6IEG0,SNRNP48 C6orf151,U11/U12 small nuclear ribonucleoprotein 48 kDa protein (U11/U12 snRNP 48 kDa protein) (U11/U12-48K),48 kDa protein,48 kDa protein
P10523,SAG,S-arrestin (48 kDa protein) (Retinal S-antigen) (S-AG) (Rod photoreceptor arrestin),48 kDa protein,48 kDa protein
E7ESX4,SAG,S-arrestin (48 kDa protein) (Retinal S-antigen) (Rod photoreceptor arrestin),48 kDa protein,48 kDa protein
C9JSX4,SAG,48 kDa protein,48 kDa protein,48 kDa protein
Q7Z3R3,DKFZp686J1593,48 kDa protein,48 kDa protein,48 kDa protein
P11021,HSPA5 GRP78,Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),78 kDa glucose-regulated protein (Binding-immunoglobulin protein) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),78 kDa glucose-regulated protein
V9HWB4,HEL-S-89n,Endoplasmic reticulum chaperone BIP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (Binding-immunoglobulin protein) (Endoplasmic reticulum chaperone BiP) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),78 kDa glucose-regulated protein (Binding-immunoglobulin protein) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),78 kDa glucose-regulated protein
A0A7P0TAI0,HSPA5,Endoplasmic reticulum chaperone BIP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (Binding-immunoglobulin protein) (Endoplasmic reticulum chaperone BiP) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),78 kDa glucose-regulated protein (Binding-immunoglobulin protein) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),78 kDa glucose-regulated protein
A0A7P0TB36,HSPA5,Endoplasmic reticulum chaperone BIP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (Binding-immunoglobulin protein) (Endoplasmic reticulum chaperone BiP) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),78 kDa glucose-regulated protein (Binding-immunoglobulin protein) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),78 kDa glucose-regulated protein
B4DEF7,,"cDNA FLJ60062, highly similar to 78 kDa glucose-regulated protein",78 kDa glucose-regulated protein (Binding-immunoglobulin protein) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),78 kDa glucose-regulated protein
O43823,AKAP8 AKAP95,A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95),A kinase (PRKA) anchor protein 6,A kinase
Q9BSF0,AKAP19 C2orf88,A-kinase anchoring protein 19 (Small membrane A-kinase anchor protein) (Small membrane AKAP) (smAKAP),A kinase (PRKA) anchor protein 6,A kinase
Q92667,AKAP1 AKAP149 PRKA1,"A-kinase anchor protein 1, mitochondrial (A-kinase anchor protein 149 kDa) (AKAP 149) (Dual specificity A-kinase-anchoring protein 1) (D-AKAP-1) (Protein kinase A-anchoring protein 1) (PRKA1) (Spermatid A-kinase anchor protein 84) (S-AKAP84)",A kinase (PRKA) anchor protein 6,A kinase
Q02952,AKAP12 AKAP250,A-kinase anchor protein 12 (AKAP-12) (A-kinase anchor protein 250 kDa) (AKAP 250) (Gravin) (Myasthenia gravis autoantigen),A kinase (PRKA) anchor protein 6,A kinase
Q86UN6,AKAP14 AKAP28,A-kinase anchor protein 14 (AKAP-14) (A-kinase anchor protein 28 kDa) (AKAP 28) (Protein kinase A-anchoring protein 14) (PRKA14),A kinase (PRKA) anchor protein 6,A kinase
Q99996,AKAP9 AKAP350 AKAP450 KIAA0803,A-kinase anchor protein 9 (AKAP-9) (A-kinase anchor protein 350 kDa) (AKAP 350) (hgAKAP 350) (A-kinase anchor protein 450 kDa) (AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein) (CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9) (PRKA9) (Protein yotiao),A-kinase anchor protein 9 (AKAP-9) (A-kinase anchor protein 350 kDa) (AKAP 350) (hgAKAP 350) (A-kinase anchor protein 450 kDa) (AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein) (CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9) (PRKA9) (Protein yotiao),A-kinase anchor protein 9
