Protein.names,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
10E8 light chain variable region,22338.57536,,5175.324325,20508.22203,,24104.09984,47112.19868,,,,,,,,,,,,,,,,,,37944.84641,,,,,
10E8 light chain variable region (IGL c3101_light_IGLV3-19_IGLJ2),11169.28768,,,10254.11102,,12052.04992,23556.09934,,,,,,,,,,,,,,,,,,18972.4232,,,,,
78 kDa glucose-regulated protein (Binding-immunoglobulin protein) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),,,1134.526313,,,,1401.725351,,,,,,,,,,,,,,,,,,,,,,1613.080425,
B cell receptor heavy chain variable region,,,,,,,,,,,,,,,,,,,,,,,103254.1598,,,,,,,
Cryocrystalglobulin CC1 heavy chain variable region,,,,,,,,,,,,,,,,,,,,,,,,,98855.68408,,,,,
Cryocrystalglobulin CC2 lambda light chain variable region,,,,,,,,,,,,,,,,,,,,,,,34642.65586,,,,,,,
Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),,,378.1754376,,,,467.2417835,,,,,,,,,,,,,,,,,,,,,,537.6934751,
Full-length cDNA clone CS0DD006YL02 of Neuroblastoma of Homo sapiens (human),493377.6596,279054.919,4536795.958,2075762.446,990820.0279,,,184354.8181,,527583.5785,299401.4631,1083630.89,3321435.689,1278637.226,435245.9465,1083205.858,663686.9722,1027933.996,1577152.537,797075.2377,798950.345,403681.7035,1757810.319,743454.2723,942514.3199,2028400.14,942274.5935,1402503.356,547462.0087,1094016.421
GCT-A2 heavy chain variable region,,,,,,12113.50028,,,,,,,,,,,,,,,,,,,,,,,,
GCT-A8 light chain variable region,62717.45442,,47153.69318,,17276.25504,60039.97399,50373.22196,,,39492.02529,,,,,,,,,,,,,,,,,,,,56928.36571
Heavy chain variable region,,,,,,,,,,,,,51353.38297,,15236.01474,,4813.254935,,,,,,,,,89493.17566,,,,
IBM-B2 heavy chain variable region,,,45901.79176,,,,,,,,,,,,,,,,,,,,,,,42917.30178,,,,
IBM-B3 light chain variable region,,,,,,,,,,,,,,,,,,,,,,,,,4758.983906,,,,,
IG c1002_light_IGKV3-20_IGKJ4,,,,,,,,,,,,,,,,,,146214.9833,,,,,,,,,,,,
IG c1003_light_IGLV1-51_IGLJ2,,,,,,28651.28726,,,,,,,,,,39903.96028,,,,,,,,,,,,,,
IG c1005_light_IGKV3-15_IGKJ1,,,,55716.43637,,,,,,,,,,,,,,,,,,,,,,,,,,
