pathway_id,pathway_name,source,n_genes
GO:0003674,molecular_function,GO:MF,274
GO:0072562,blood microparticle,GO:CC,47
GO:0065007,biological regulation,GO:BP,208
GO:0070062,extracellular exosome,GO:CC,118
GO:0032101,regulation of response to external stimulus,GO:BP,41
REAC:R-HSA-166663,Initial triggering of complement,REAC,15
GO:0004252,serine-type endopeptidase activity,GO:MF,38
GO:0140096,"catalytic activity, acting on a protein",GO:MF,73
GO:0031093,platelet alpha granule lumen,GO:CC,17
GO:1990777,lipoprotein particle,GO:CC,16
GO:0051649,establishment of localization in cell,GO:BP,22
WP:WP5115,Network map of SARS CoV 2 signaling,WP,34
GO:0004857,enzyme inhibitor activity,GO:MF,30
GO:0003824,catalytic activity,GO:MF,141
GO:0051918,negative regulation of fibrinolysis,GO:BP,5
GO:0042311,vasodilation,GO:BP,3
GO:0006957,"complement activation, alternative pathway",GO:BP,10
GO:0006508,proteolysis,GO:BP,58
REAC:R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),REAC,14
WP:WP4493,Cells and molecules involved in local acute inflammatory response ,WP,4
GO:0042310,vasoconstriction,GO:BP,5
GO:0043025,neuronal cell body,GO:CC,9
GO:0001867,"complement activation, lectin pathway",GO:BP,8
GO:0001906,cell killing,GO:BP,22
GO:0030198,extracellular matrix organization,GO:BP,10
GO:0046330,positive regulation of JNK cascade,GO:BP,3
GO:0051492,regulation of stress fiber assembly,GO:BP,3
GO:0006954,inflammatory response,GO:BP,39
REAC:R-HSA-109582,Hemostasis,REAC,42
REAC:R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,REAC,10
GO:0010638,positive regulation of organelle organization,GO:BP,11
GO:0031089,platelet dense granule lumen,GO:CC,7
GO:0043277,apoptotic cell clearance,GO:BP,7
GO:0006953,acute-phase response,GO:BP,10
GO:0012505,endomembrane system,GO:CC,99
GO:1903027,regulation of opsonization,GO:BP,6
GO:0044877,protein-containing complex binding,GO:MF,34
GO:0007399,nervous system development,GO:BP,34
GO:0071813,lipoprotein particle binding,GO:MF,5
GO:0072378,"blood coagulation, fibrin clot formation",GO:BP,6
GO:0072593,reactive oxygen species metabolic process,GO:BP,11
GO:0002920,regulation of humoral immune response,GO:BP,8
GO:0001846,opsonin binding,GO:MF,7
GO:1901700,response to oxygen-containing compound,GO:BP,39
WP:WP5089,Kinin Kallikrein pathway,WP,5
WP:WP15,Selenium micronutrient network,WP,12
GO:0051050,positive regulation of transport,GO:BP,30
GO:0045807,positive regulation of endocytosis,GO:BP,13
GO:0033194,response to hydroperoxide,GO:BP,4
GO:0019430,removal of superoxide radicals,GO:BP,3
REAC:R-HSA-140875,Common Pathway of Fibrin Clot Formation,REAC,7
GO:0010927,cellular component assembly involved in morphogenesis,GO:BP,7
GO:1904724,tertiary granule lumen,GO:CC,8
GO:0045202,synapse,GO:CC,23
GO:0051702,biological process involved in interaction with symbiont,GO:BP,7
GO:0045595,regulation of cell differentiation,GO:BP,31
GO:0009056,catabolic process,GO:BP,45
GO:0098890,extrinsic component of postsynaptic membrane,GO:CC,4
GO:0045916,negative regulation of complement activation,GO:BP,5
GO:0034366,spherical high-density lipoprotein particle,GO:CC,4
GO:0045861,negative regulation of proteolysis,GO:BP,9
GO:0005509,calcium ion binding,GO:MF,28
GO:0090303,positive regulation of wound healing,GO:BP,8
GO:1903028,positive regulation of opsonization,GO:BP,4
GO:0010628,positive regulation of gene expression,GO:BP,35
REAC:R-HSA-166662,Lectin pathway of complement activation,REAC,4
REAC:R-HSA-166786,Creation of C4 and C2 activators,REAC,9
GO:0051346,negative regulation of hydrolase activity,GO:BP,6
GO:0022857,transmembrane transporter activity,GO:MF,12
GO:0051919,positive regulation of fibrinolysis,GO:BP,3
WP:WP4969,RAS and bradykinin pathways in COVID 19,WP,6
WP:WP706,Sudden infant death syndrome SIDS susceptibility pathways,WP,3
GO:0031341,regulation of cell killing,GO:BP,4
GO:0002697,regulation of immune effector process,GO:BP,17
WP:WP2882,Nuclear receptors meta pathway,WP,7
GO:0030139,endocytic vesicle,GO:CC,15
GO:1905953,negative regulation of lipid localization,GO:BP,6
REAC:R-HSA-2855086,Ficolins bind to repetitive carbohydrate structures on the target cell surface,REAC,3
GO:1905370,serine-type endopeptidase complex,GO:CC,4
GO:0009609,response to symbiotic bacterium,GO:BP,3
GO:0070887,cellular response to chemical stimulus,GO:BP,49
GO:0001968,fibronectin binding,GO:MF,3
REAC:R-HSA-5686938,Regulation of TLR by endogenous ligand,REAC,5
GO:0030169,low-density lipoprotein particle binding,GO:MF,4
GO:0019207,kinase regulator activity,GO:MF,4
GO:0060696,regulation of phospholipid catabolic process,GO:BP,3
REAC:R-HSA-173736,Alternative complement activation,REAC,3
GO:0097367,carbohydrate derivative binding,GO:MF,57
GO:0051247,positive regulation of protein metabolic process,GO:BP,23
GO:0006022,aminoglycan metabolic process,GO:BP,7
GO:0009897,external side of plasma membrane,GO:CC,15
GO:0005201,extracellular matrix structural constituent,GO:MF,10
GO:0007584,response to nutrient,GO:BP,6
GO:0004601,peroxidase activity,GO:MF,6
GO:0005622,intracellular anatomical structure,GO:CC,197
GO:0044403,biological process involved in symbiotic interaction,GO:BP,11
GO:0120543,macromolecular conformation isomerase activity,GO:MF,11
WP:WP4927,COVID 19 thrombosis and anticoagulation,WP,3
GO:0030492,hemoglobin binding,GO:MF,3
GO:0050777,negative regulation of immune response,GO:BP,10
GO:0051494,negative regulation of cytoskeleton organization,GO:BP,3
GO:0009986,cell surface,GO:CC,24
GO:0048871,multicellular organismal-level homeostasis,GO:BP,19
GO:1902041,regulation of extrinsic apoptotic signaling pathway via death domain receptors,GO:BP,5
GO:0006284,base-excision repair,GO:BP,5
GO:0008092,cytoskeletal protein binding,GO:MF,17
GO:0032757,positive regulation of interleukin-8 production,GO:BP,4
KEGG:05415,Diabetic cardiomyopathy,KEGG,4
GO:0002698,negative regulation of immune effector process,GO:BP,7
GO:0045765,regulation of angiogenesis,GO:BP,12
GO:0006936,muscle contraction,GO:BP,6
GO:0043170,macromolecule metabolic process,GO:BP,149
GO:0043393,regulation of protein binding,GO:BP,7
GO:0031210,phosphatidylcholine binding,GO:MF,4
GO:2001236,regulation of extrinsic apoptotic signaling pathway,GO:BP,7
REAC:R-HSA-110362,POLB-Dependent Long Patch Base Excision Repair,REAC,3
GO:0045598,regulation of fat cell differentiation,GO:BP,3
GO:0048513,animal organ development,GO:BP,59
GO:2000351,regulation of endothelial cell apoptotic process,GO:BP,5
GO:0001525,angiogenesis,GO:BP,17
GO:0032496,response to lipopolysaccharide,GO:BP,11
WP:WP3645,NAD biosynthetic pathways,WP,4
WP:WP5104,Acquired partial lipodystrophy Barraquer Simons syndrome,WP,3
GO:2000352,negative regulation of endothelial cell apoptotic process,GO:BP,4
GO:0005604,basement membrane,GO:CC,6
REAC:R-HSA-9668250,Defective factor IX causes hemophilia B,REAC,3
GO:0043227,membrane-bounded organelle,GO:CC,217
GO:0048729,tissue morphogenesis,GO:BP,18
GO:0090407,organophosphate biosynthetic process,GO:BP,12
GO:0055001,muscle cell development,GO:BP,9
GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,GO:BP,5
GO:0050830,defense response to Gram-positive bacterium,GO:BP,7
GO:0010466,negative regulation of peptidase activity,GO:BP,4
GO:2000026,regulation of multicellular organismal development,GO:BP,32
GO:0061050,regulation of cell growth involved in cardiac muscle cell development,GO:BP,3
GO:0005200,structural constituent of cytoskeleton,GO:MF,7
REAC:R-HSA-9759194,Nuclear events mediated by NFE2L2,REAC,3
GO:0043169,cation binding,GO:MF,83
GO:0001725,stress fiber,GO:CC,4
GO:0050679,positive regulation of epithelial cell proliferation,GO:BP,9
GO:0007160,cell-matrix adhesion,GO:BP,7
GO:1901018,positive regulation of potassium ion transmembrane transporter activity,GO:BP,3
GO:0090092,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,GO:BP,7
GO:0008234,cysteine-type peptidase activity,GO:MF,6
GO:0010906,regulation of glucose metabolic process,GO:BP,6
GO:0045089,positive regulation of innate immune response,GO:BP,9
GO:0030280,structural constituent of skin epidermis,GO:MF,4
GO:0071222,cellular response to lipopolysaccharide,GO:BP,9
GO:0045454,cell redox homeostasis,GO:BP,4
GO:1901136,carbohydrate derivative catabolic process,GO:BP,6
GO:0007015,actin filament organization,GO:BP,9
