,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,pathway_name,source,n_genes
GO:0005615,0.14783707915685632,0.00760243887054616,0.11900959200927239,0.033444163099084157,0.10220835765117695,0.18716565690460774,0.1659856205394316,0.19217313890034557,0.1635289032539506,0.05580750634609872,0.1432239623752212,0.16247564332677247,0.10059658736626803,0.12885457970126263,0.16911403069850073,0.08432832646640345,0.17744199277299377,0.19489534181651277,0.21130220477509434,0.14389025756209153,0.22003436539082816,0.21156156081308541,0.17654939466170141,0.1780700203337845,0.13234881287203792,0.17063694688026984,0.11773824269329011,0.15939093821004985,0.14357795261268616,0.20206361490542993,extracellular space,GO:CC,159
GO:0072562,0.28098803634982233,0.23947848788338105,0.31746108860385897,0.24440939758388266,0.2826927768666646,0.3475720093641654,0.28728379259450565,0.3163423059059229,0.32863503091246427,0.3216764069280881,0.32498206949016295,0.3521977008936378,0.32849350848329445,0.31832735483946123,0.32546387709188834,0.2569659948552705,0.2784097456861307,0.3862501086326681,0.3358218766182505,0.3068015649510394,0.35314381399895084,0.29969394159814033,0.3070149331699142,0.3135832617504743,0.3301205920411918,0.35772439197618405,0.3006667301538577,0.31275505744432885,0.32469399134967597,0.32771980205584156,blood microparticle,GO:CC,47
GO:0005576,0.16359209043811235,-0.007781837292487983,0.13865831867239278,-0.014700890093950326,0.04719556007862741,0.18970631145776107,0.16018125266549055,0.1860568366774116,0.19319891655485266,0.0483501696482722,0.1381658393398022,0.15364642218987942,0.09934583111736953,0.1387463463603637,0.1638799838059402,0.0868178352809553,0.18805951778270044,0.23766220635684712,0.2437490832180729,0.16957355446065428,0.24416631216932128,0.2419986731967804,0.19807646686274036,0.19189737824508932,0.1364091131634696,0.16561564569263168,0.11868833290180655,0.16928733844943814,0.16410636327017622,0.21060434247495738,extracellular region,GO:CC,169
KEGG:04610,0.20027370155804583,0.06316920082061128,0.20585893795406726,-0.015327066965398607,-0.0022532113812271555,0.19032786356288042,0.20473708052068,0.1863469082590676,0.2314545562098955,0.14708987580228577,0.1966144759185133,0.20744455590345137,0.15322690108212897,0.20621811173568547,0.14328510602171854,0.1807097730301798,0.17653826818785548,0.2688838253397754,0.27479377529259336,0.24630058143705044,0.20402744970654557,0.26487763526490826,0.1763168621806812,0.20602682168942404,0.11231178096820177,0.15362753324445913,0.13909047508193326,0.18215894528180024,0.17059978265138134,0.18691484509454287,Complement and coagulation cascades,KEGG,43
GO:0065010,0.21053697856764036,0.19452594621218752,0.23493093589640535,0.15123715233260618,0.20649349052583235,0.2836721991145078,0.2568883464327287,0.26717839775014035,0.2901871526639816,0.1897156593716722,0.245678704027046,0.269578733176557,0.23073618821893474,0.2146470031333532,0.27842681208810577,0.23331018781505364,0.2544958872337229,0.2713435727729908,0.2647376104548487,0.22486731755494127,0.26782630592446466,0.2634517705525361,0.25640033414547075,0.2855765894674872,0.2271441119960623,0.27531693849643435,0.23842967506859222,0.24396992039090268,0.23952911769208987,0.27750461703368806,extracellular membrane-bounded organelle,GO:CC,120
GO:0043230,0.21053697856764036,0.19452594621218752,0.23493093589640535,0.15123715233260618,0.20649349052583235,0.2836721991145078,0.2568883464327287,0.26717839775014035,0.2901871526639816,0.1897156593716722,0.245678704027046,0.269578733176557,0.23073618821893474,0.2146470031333532,0.27842681208810577,0.23331018781505364,0.2544958872337229,0.2713435727729908,0.2647376104548487,0.22486731755494127,0.26782630592446466,0.2634517705525361,0.25640033414547075,0.2855765894674872,0.2271441119960623,0.27531693849643435,0.23842967506859222,0.24396992039090268,0.23952911769208987,0.27750461703368806,extracellular organelle,GO:CC,120
GO:1903561,0.21053697856764036,0.19452594621218752,0.23493093589640535,0.15123715233260618,0.20649349052583235,0.2836721991145078,0.2568883464327287,0.26717839775014035,0.2901871526639816,0.1897156593716722,0.245678704027046,0.269578733176557,0.23073618821893474,0.2146470031333532,0.27842681208810577,0.23331018781505364,0.2544958872337229,0.2713435727729908,0.2647376104548487,0.22486731755494127,0.26782630592446466,0.2634517705525361,0.25640033414547075,0.2855765894674872,0.2271441119960623,0.27531693849643435,0.23842967506859222,0.24396992039090268,0.23952911769208987,0.27750461703368806,extracellular vesicle,GO:CC,120
GO:0070062,0.21053697856764036,0.19452594621218752,0.23493093589640535,0.15123715233260618,0.20649349052583235,0.2836721991145078,0.2636733143341236,0.26717839775014035,0.2901871526639816,0.1897156593716722,0.245678704027046,0.269578733176557,0.23073618821893474,0.2146470031333532,0.27842681208810577,0.23331018781505364,0.2544958872337229,0.2713435727729908,0.2694386270438112,0.22486731755494127,0.276307963515367,0.2634517705525361,0.25640033414547075,0.2855765894674872,0.2271441119960623,0.27531693849643435,0.23842967506859222,0.2511042969274779,0.23952911769208987,0.27750461703368806,extracellular exosome,GO:CC,118
GO:0006956,0.24943297042524695,0.17134020578985895,0.24641582665423964,0.04886296797836809,0.0747123420048343,0.2518806829758217,0.2364972867174619,0.21888233803861257,0.26707627660504385,0.21119244967374515,0.22649300766154398,0.23716471289077626,0.1963303398620113,0.24011892526870882,0.22284215180345532,0.2375031379503058,0.23172911499987459,0.287110334761187,0.29883144363365854,0.27877320974147063,0.2504086467535353,0.2787330455191189,0.22712518771734586,0.2457447702311419,0.1821835404345813,0.19074715329352934,0.1939142243936,0.23504022058377044,0.18849361246131421,0.24400853247969526,complement activation,GO:BP,34
GO:0031982,0.21398945364128275,0.19435126648950826,0.223532836960209,0.13214012330615799,0.1999975120685351,0.27514330111681096,0.2589192451731086,0.25984962291953,0.2542461935536822,0.17816835281843743,0.23667301583155975,0.23295286878057506,0.22435428332880752,0.1826002234971559,0.2645296020484678,0.2171285111047668,0.24023049747188321,0.24033459672112845,0.2446238852325216,0.21764530163001952,0.25881659792408834,0.25301051642064115,0.2506109224259845,0.27420602938811817,0.2238492949627772,0.25858991286770866,0.22787802187932962,0.23816182766654412,0.22016847545460438,0.2753368704014443,vesicle,GO:CC,142
WP:WP3896,0.17898820116633965,0.06249720183670252,0.20229627955648308,0.019076557538687835,0.019139960610005693,0.1599707201422191,0.18437961875295664,0.14335843291719472,0.19988692239778266,0.12086157839063458,0.1645322464035399,0.17627144656969573,0.13836681627648845,0.2117098863544,0.11604464077650649,0.15697117585728518,0.18459953076064894,0.2237515051716059,0.2606274911756865,0.21624175399971002,0.2088467585922326,0.25188083825820917,0.15184046479699617,0.17610510849452593,0.058339193422790654,0.1265677312699589,0.09038144462087178,0.15256064250777557,0.1857407781606951,0.1732325319773714,Dengue 2 interactions with complement and coagulation cascades,WP,29
WP:WP558,0.17898820116633965,0.06249720183670252,0.20229627955648308,0.019076557538687835,0.019139960610005693,0.1599707201422191,0.18437961875295664,0.14335843291719472,0.19988692239778266,0.12086157839063458,0.1645322464035399,0.17627144656969573,0.13836681627648845,0.2117098863544,0.11604464077650649,0.15697117585728518,0.18459953076064894,0.2237515051716059,0.2606274911756865,0.21624175399971002,0.2088467585922326,0.25188083825820917,0.15184046479699617,0.17610510849452593,0.058339193422790654,0.1265677312699589,0.09038144462087178,0.15256064250777557,0.1857407781606951,0.1732325319773714,Complement and coagulation cascades,WP,29
WP:WP545,0.2140012113185946,0.12445558844207252,0.1859737912311761,-0.004135493279588401,0.03744079682468633,0.19945026103691266,0.19079066080429466,0.16975545195761368,0.2319192893256007,0.17626459106674647,0.18770267635684257,0.18733312862125567,0.14777243728024703,0.16614784222839007,0.14384179958131332,0.19311147656799799,0.19247779679843166,0.2510825318648432,0.2718043347320647,0.25580954135445966,0.19148539763517572,0.2578280276681406,0.20634681317764256,0.1943257906031511,0.15908646370993987,0.14504442238315868,0.1761267141784078,0.19039885346284266,0.15356991051302524,0.1975555638400482,Complement activation,WP,20
GO:0006959,0.2583349215842304,0.14550023739430762,0.2627409321470423,0.06293705730752062,0.07281803901861625,0.25739720710797814,0.24495577592465573,0.2237207132108294,0.2559342253027903,0.23207002688549325,0.24375456569514622,0.2568423098089628,0.2135819068652721,0.23525837185942206,0.24482926689434034,0.2530747475450001,0.250180007879655,0.29516503348296513,0.31229587715555834,0.2910809101625842,0.26728485391511564,0.2876865640675619,0.2324989655404407,0.2607592822570764,0.20112921522192528,0.2110327094053615,0.21667239507008404,0.2556420484751302,0.2032665844448582,0.25844056029305673,humoral immune response,GO:BP,43
WP:WP2806,0.2710944913306879,0.13293447696677863,0.22175589411469895,0.1371621172665075,0.09163256112433485,0.29089797756969193,0.24303459853376835,0.23418373212806412,0.263487779977943,0.24433774767851463,0.2910898002220858,0.24866724354729985,0.23101859501496702,0.21857121484942058,0.21141589799015129,0.21522856054975448,0.22744370316022075,0.29504602115765355,0.2645097055214708,0.2997774634119004,0.2257985786589029,0.2797082527516224,0.2587922523568124,0.2381753012343016,0.2587823525099019,0.16373017619169775,0.2657967752204018,0.282917211593675,0.23615516459678434,0.3035078665355105,Complement system,WP,32
GO:0006958,0.21579239846033113,0.14178453050037396,0.20390753876893292,0.004815024401764625,0.05880686070590944,0.21503323954942188,0.20837346716032124,0.18618972749624463,0.2504253675290146,0.18313955790620784,0.20136329829056127,0.21202779695950896,0.17635587556993232,0.19938612271072367,0.19308877518474232,0.2197583244002193,0.22672324680203626,0.25113959580949585,0.2851925413455662,0.25211572439755947,0.20729915694822995,0.2519067859442033,0.20117672128687059,0.22460113105237406,0.16925109165514077,0.1661277860755033,0.1933369475139574,0.2090532909443444,0.15808920463345977,0.20604277190679318,"complement activation, classical pathway",GO:BP,22
