,pathway_name,source,n_genes,mean_AD,mean_Ctrl,diff
GO:0006164,purine nucleotide biosynthetic process,GO:BP,7,0.066537604111457,0.3112906027274106,-0.24475299861595362
GO:0046390,ribose phosphate biosynthetic process,GO:BP,7,0.066537604111457,0.3112906027274106,-0.24475299861595362
GO:0009260,ribonucleotide biosynthetic process,GO:BP,7,0.066537604111457,0.3112906027274106,-0.24475299861595362
GO:0009152,purine ribonucleotide biosynthetic process,GO:BP,7,0.066537604111457,0.3112906027274106,-0.24475299861595362
GO:0072522,purine-containing compound biosynthetic process,GO:BP,7,0.066537604111457,0.3112906027274106,-0.24475299861595362
GO:0009165,nucleotide biosynthetic process,GO:BP,8,0.066537604111457,0.2965618557011963,-0.23002425158973933
GO:1901293,nucleoside phosphate biosynthetic process,GO:BP,9,0.066537604111457,0.28585292934128104,-0.21931532522982405
GO:0042098,T cell proliferation,GO:BP,3,-0.20413461230550117,0.0,-0.20413461230550117
REAC:R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis,REAC,4,-0.0706033725050064,-0.26746183043171345,0.19685845792670706
KEGG:05144,Malaria,KEGG,3,-0.15730509026125877,0.031722164633747996,-0.18902725489500677
GO:0097193,intrinsic apoptotic signaling pathway,GO:BP,6,0.2291891144146979,0.04627345965238346,0.18291565476231442
REAC:R-HSA-199991,Membrane Trafficking,REAC,13,-0.1436572629066985,-0.3219465583961007,0.1782892954894022
GO:0001776,leukocyte homeostasis,GO:BP,3,0.1375896206328768,0.3112906027274106,-0.1737009820945338
GO:0030879,mammary gland development,GO:BP,4,-0.14842921514853671,-0.3190489208366712,0.17061970568813448
GO:0071396,cellular response to lipid,GO:BP,16,-0.2868369241395107,-0.11779255702025371,-0.16904436711925697
WP:WP4673,Male infertility,WP,5,0.007813194714060683,0.1742237534680166,-0.1664105587539559
REAC:R-HSA-3700989,Transcriptional Regulation by TP53,REAC,5,-0.20501644859117332,-0.03990825688073395,-0.1651081917104394
GO:0007565,female pregnancy,GO:BP,8,-0.16961735082163262,-0.005095909131750812,-0.1645214416898818
GO:0044703,multi-organism reproductive process,GO:BP,8,-0.16961735082163262,-0.005095909131750812,-0.1645214416898818
GO:0044706,multi-multicellular organism process,GO:BP,8,-0.16961735082163262,-0.005095909131750812,-0.1645214416898818
GO:0001763,morphogenesis of a branching structure,GO:BP,3,0.1575270253656821,-0.006710775383585196,0.1642378007492673
GO:0048754,branching morphogenesis of an epithelial tube,GO:BP,3,0.1575270253656821,-0.006710775383585196,0.1642378007492673
GO:0061138,morphogenesis of a branching epithelium,GO:BP,3,0.1575270253656821,-0.006710775383585196,0.1642378007492673
GO:1905330,regulation of morphogenesis of an epithelium,GO:BP,3,0.1575270253656821,-0.006710775383585196,0.1642378007492673
GO:1905332,positive regulation of morphogenesis of an epithelium,GO:BP,3,0.1575270253656821,-0.006710775383585196,0.1642378007492673
GO:0007259,cell surface receptor signaling pathway via JAK-STAT,GO:BP,3,-0.11076865651921146,-0.27417712596487637,0.1634084694456649
GO:0046425,regulation of receptor signaling pathway via JAK-STAT,GO:BP,3,-0.11076865651921146,-0.27417712596487637,0.1634084694456649
GO:1904892,regulation of receptor signaling pathway via STAT,GO:BP,3,-0.11076865651921146,-0.27417712596487637,0.1634084694456649
GO:0097696,cell surface receptor signaling pathway via STAT,GO:BP,3,-0.11076865651921146,-0.27417712596487637,0.1634084694456649
REAC:R-HSA-8856828,Clathrin-mediated endocytosis,REAC,6,-0.11477646709131564,-0.2755730471616942,0.16079658007037853
GO:0002520,immune system development,GO:BP,4,-0.15724205545268263,0.0,-0.15724205545268263
WP:WP1544,MicroRNAs in cardiomyocyte hypertrophy,WP,3,0.15780046026434394,0.0011556152024391948,0.15664484506190474
GO:0007517,muscle organ development,GO:BP,5,-0.2111049668804937,-0.055466828157077375,-0.15563813872341634
GO:0038127,ERBB signaling pathway,GO:BP,3,0.15988119176468776,0.00628192899846981,0.15359926276621796
GO:0007173,epidermal growth factor receptor signaling pathway,GO:BP,3,0.15988119176468776,0.00628192899846981,0.15359926276621796
GO:0005604,basement membrane,GO:CC,6,-0.2589111692547519,-0.1056955223374012,-0.15321564691735068
KEGG:01240,Biosynthesis of cofactors,KEGG,3,0.14451365533489138,0.2965618557011963,-0.15204820036630493
GO:0002064,epithelial cell development,GO:BP,3,-0.27080300537181473,-0.11897650643808122,-0.1518264989337335
GO:0016491,oxidoreductase activity,GO:MF,16,0.060846086808004,0.2126472115136142,-0.15180112470561022
GO:0032943,mononuclear cell proliferation,GO:BP,5,-0.27366511656114906,-0.12193993737900635,-0.1517251791821427
GO:0034394,protein localization to cell surface,GO:BP,3,-0.13324245966601408,-0.28464146421739206,0.15139900455137797
GO:0070661,leukocyte proliferation,GO:BP,6,-0.2689481354290736,-0.12193993737900635,-0.14700819805006723
GO:0009259,ribonucleotide metabolic process,GO:BP,13,0.05563710016114333,0.2021206709967442,-0.14648357083560087
GO:0019693,ribose phosphate metabolic process,GO:BP,13,0.05563710016114333,0.2021206709967442,-0.14648357083560087
GO:0042181,ketone biosynthetic process,GO:BP,3,-0.020273109243697476,-0.16487795476793163,0.14460484552423414
GO:0048872,homeostasis of number of cells,GO:BP,6,0.012902059529466586,0.15525018698082774,-0.14234812745136116
GO:0006816,calcium ion transport,GO:BP,5,-0.11371189681236597,-0.25483636427857326,0.14112446746620727
GO:0006163,purine nucleotide metabolic process,GO:BP,12,0.06282238316551246,0.2021206709967442,-0.13929828783123172
GO:0009150,purine ribonucleotide metabolic process,GO:BP,12,0.06282238316551246,0.2021206709967442,-0.13929828783123172
GO:0072521,purine-containing compound metabolic process,GO:BP,12,0.06282238316551246,0.2021206709967442,-0.13929828783123172
GO:0055001,muscle cell development,GO:BP,9,-0.2593002946561834,-0.12172655043228446,-0.13757374422389895
GO:0006412,translation,GO:BP,8,-0.12445483694526857,0.012979745710545337,-0.1374345826558139
GO:0019867,outer membrane,GO:CC,3,0.26126076806166715,0.12392151741325426,0.1373392506484129
GO:0031968,organelle outer membrane,GO:CC,3,0.26126076806166715,0.12392151741325426,0.1373392506484129
GO:0003690,double-stranded DNA binding,GO:MF,4,0.20840040334523408,0.07112723138338718,0.1372731719618469
GO:0000987,cis-regulatory region sequence-specific DNA binding,GO:MF,3,0.20840040334523408,0.07118812680913014,0.13721227653610393
GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,GO:MF,3,0.20840040334523408,0.07118812680913014,0.13721227653610393
GO:0001067,transcription regulatory region nucleic acid binding,GO:MF,3,0.20840040334523408,0.07118812680913014,0.13721227653610393
GO:0043565,sequence-specific DNA binding,GO:MF,3,0.20840040334523408,0.07118812680913014,0.13721227653610393
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,GO:MF,3,0.20840040334523408,0.07118812680913014,0.13721227653610393
GO:0000976,transcription cis-regulatory region binding,GO:MF,3,0.20840040334523408,0.07118812680913014,0.13721227653610393
GO:1990837,sequence-specific double-stranded DNA binding,GO:MF,3,0.20840040334523408,0.07118812680913014,0.13721227653610393
GO:0005740,mitochondrial envelope,GO:CC,7,0.25086154999480287,0.11407290359602129,0.13678864639878158
GO:0031966,mitochondrial membrane,GO:CC,7,0.25086154999480287,0.11407290359602129,0.13678864639878158
GO:0071222,cellular response to lipopolysaccharide,GO:BP,9,-0.31330662276138965,-0.17695828119232992,-0.13634834156905973
GO:0071219,cellular response to molecule of bacterial origin,GO:BP,9,-0.31330662276138965,-0.17695828119232992,-0.13634834156905973
GO:0071216,cellular response to biotic stimulus,GO:BP,9,-0.31330662276138965,-0.17695828119232992,-0.13634834156905973
GO:0030017,sarcomere,GO:CC,5,-0.19093941405822842,-0.05509462745668296,-0.13584478660154548
GO:0031023,microtubule organizing center organization,GO:BP,5,0.22807379905900865,0.09321935744803128,0.13485444161097737
GO:0018193,peptidyl-amino acid modification,GO:BP,10,0.14567156816103058,0.010836980444327913,0.13483458771670268
WP:WP4657,22q11 2 copy number variation syndrome,WP,5,-0.1358537430953443,-0.001521015032388933,-0.13433272806295535
GO:0007519,skeletal muscle tissue development,GO:BP,3,-0.2144822896428332,-0.08181066294788897,-0.13267162669494423
GO:0060538,skeletal muscle organ development,GO:BP,3,-0.2144822896428332,-0.08181066294788897,-0.13267162669494423
GO:0009117,nucleotide metabolic process,GO:BP,14,0.05563710016114333,0.18739192397052987,-0.13175482380938652
GO:0006417,regulation of translation,GO:BP,7,-0.11821095674844637,0.012979745710545337,-0.1311907024589917
GO:0016684,"oxidoreductase activity, acting on peroxide as acceptor",GO:MF,6,-0.05301235366648296,0.07768328867957461,-0.13069564234605757
GO:0004601,peroxidase activity,GO:MF,6,-0.05301235366648296,0.07768328867957461,-0.13069564234605757
GO:0048705,skeletal system morphogenesis,GO:BP,3,0.18097604051537503,0.3112906027274106,-0.13031456221203558
GO:0018108,peptidyl-tyrosine phosphorylation,GO:BP,4,0.16226098316111465,0.032184264889158,0.13007671827195666
GO:0018212,peptidyl-tyrosine modification,GO:BP,4,0.16226098316111465,0.032184264889158,0.13007671827195666
GO:0008186,"ATP-dependent activity, acting on RNA",GO:MF,3,0.0,-0.13003197798893978,0.13003197798893978
GO:0003724,RNA helicase activity,GO:MF,3,0.0,-0.13003197798893978,0.13003197798893978
GO:0008083,growth factor activity,GO:MF,7,0.13191278444615345,0.0022446637852076763,0.12966812066094577
GO:0006801,superoxide metabolic process,GO:BP,4,0.09268707665848488,0.22201852794508076,-0.12933145128659587
REAC:R-HSA-69278,"Cell Cycle, Mitotic",REAC,11,-0.2108856847282829,-0.081651376146789,-0.1292343085814939
GO:0042445,hormone metabolic process,GO:BP,6,-0.04954576647077403,-0.17798203910515192,0.1284362726343779
GO:0050730,regulation of peptidyl-tyrosine phosphorylation,GO:BP,3,0.16413145967460696,0.03585676326291544,0.12827469641169154
GO:0046651,lymphocyte proliferation,GO:BP,4,-0.21594793939681356,-0.08813355391788238,-0.12781438547893118
GO:0008654,phospholipid biosynthetic process,GO:BP,3,-0.06876317492421716,-0.19555605079506574,0.1267928758708486
GO:0046474,glycerophospholipid biosynthetic process,GO:BP,3,-0.06876317492421716,-0.19555605079506574,0.1267928758708486
GO:0002262,myeloid cell homeostasis,GO:BP,3,0.028908901827919435,0.15525018698082774,-0.1263412851529083
GO:0045017,glycerolipid biosynthetic process,GO:BP,6,-0.030689571740948118,-0.15631565070289852,0.1256260789619504
