alpha,beta,pi,n_stable,loocv_acc,loocv_auc,loocv_kappa
0.0,0.0,0.6,7,0.967,0.9,0.923
0.0,0.25,0.6,7,0.967,0.9,0.923
0.0,0.5,0.6,7,0.967,0.9,0.923
0.0,0.75,0.6,7,0.967,0.9,0.923
0.0,1.0,0.6,7,0.967,0.9,0.923
0.25,0.0,0.6,7,0.967,0.9,0.923
0.25,0.25,0.6,7,0.967,0.9,0.923
0.25,0.5,0.6,7,0.967,0.9,0.923
0.25,0.75,0.6,7,0.967,0.9,0.923
0.25,1.0,0.6,9,0.967,0.985,0.923
0.5,0.0,0.6,7,0.967,0.9,0.923
0.5,0.25,0.6,8,0.933,0.955,0.85
0.5,0.5,0.6,9,0.967,0.9,0.923
0.5,0.75,0.6,9,0.967,0.9,0.923
0.5,1.0,0.6,9,0.967,0.9,0.923
0.75,0.0,0.6,9,0.967,0.9,0.923
0.75,0.25,0.6,9,0.967,0.9,0.923
0.75,0.5,0.6,9,0.967,0.9,0.923
0.75,0.75,0.6,9,0.967,0.9,0.923
0.75,1.0,0.6,10,0.967,0.99,0.923
1.0,0.0,0.6,9,0.967,0.9,0.923
1.0,0.25,0.6,10,0.967,0.995,0.923
1.0,0.5,0.6,10,0.967,0.995,0.923
1.0,0.75,0.6,10,0.967,0.995,0.923
1.0,1.0,0.6,11,0.967,1.0,0.923
