Protein.names,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,gene_symbol
Hemopexin (Beta-1B-glycoprotein),17.529383086056804,18.8751679024603,19.28349890406659,17.925707944634876,15.939174911984214,18.092313475669563,18.25507019464479,17.05986201257209,19.135738056813462,19.090955307503098,19.7673446959816,19.890921218205637,19.67785302424797,18.207534786920903,19.45937683250487,18.822895683934597,19.514002727622863,17.551080947737923,20.576853034609375,19.935273035854287,19.10776544026296,18.698851735691203,18.74560525349434,19.78803598804108,18.977625188787027,18.520227639731218,19.235204021166673,19.96246758517363,19.132171215027626,18.778540744697715,HPX
Complement component C6,13.692977211039157,13.950486489827318,13.997030779164348,12.632670668050055,12.564184225261746,14.857634830675668,14.719666603910118,16.559538640290857,17.10246693555664,13.467147554168658,15.439399804703386,15.566499042082786,16.495654928212385,15.99088364165404,15.089234172786217,15.23380400140376,15.953140719498922,16.124338046015918,16.623384766686463,15.157341803174551,16.03291199068164,13.163771293257485,13.41013097880427,13.394104547472349,12.844880787260594,14.391413267993514,14.140295317960552,14.75761999921215,14.109889017783086,13.536037007722204,C6
Complement component C8 alpha chain (Complement component 8 subunit alpha),10.436103634553907,10.61765218822596,12.75935827904277,11.385458871038038,10.130116782518398,14.141159993857029,12.023836945572786,15.205470118925255,12.57465308647217,12.362034352078515,14.69767773584509,13.143377095119396,13.080261898279083,13.714503294792856,14.439165447795473,13.162543340804,12.886982070612412,14.113896591582527,14.627978019351776,13.242383966067836,13.028648432601406,11.40675945616531,13.557845018827232,12.261277434603736,11.693610980382172,10.586058495909777,11.871519506136478,12.119366770365774,12.002229622477218,10.733997255942652,C8A
Apolipoprotein C-III (Apolipoprotein C3),16.09990988550313,16.426862248015603,15.817243213281897,14.9213991003062,16.57366750024682,16.34544113985995,17.119729187643333,17.710271726156098,18.550192881412503,15.234210841161152,18.15086975542508,17.277707939910293,18.806220185118487,19.859862749542216,17.504719736102363,17.392875190236083,16.752707103001935,15.297024590935305,18.311627569994847,16.689976200107154,17.27029567966214,16.071724581188914,18.915826849045924,15.760855966251755,17.921708454845707,16.988455299239444,14.41167660839631,17.15593662515418,17.739571210013366,16.12188190627805,APOC3
Complement component C8 beta chain (Complement component 8 subunit beta),12.899146933953087,13.706615681889163,14.819394452291624,14.038585472368805,13.046794329276077,15.203606497097534,14.578470127778392,16.473044473513422,14.822271629407002,13.936884378662604,15.009805074992183,15.816118190302804,15.461419535508682,14.321896264372445,13.237921143906618,14.323914801660314,13.84757864478351,15.46862812594538,16.138600859846843,15.86122360650852,15.52183981063225,14.42937820053377,15.518677156443973,14.79843527659884,15.407315953424876,13.942266422751434,14.4347813970521,15.530330295177777,14.8336704965902,14.217751366968926,C8B
Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2) [Cleaved into: Proapolipoprotein C-II (ProapoC-II)],15.890219906387737,15.558870782985316,13.59439428739858,13.51128274779779,16.38046230042313,15.055690113394355,15.024406100496629,15.495038474861108,16.53581346822569,14.294790628147712,15.831198661473705,14.897932053387976,17.63798245782958,17.21272698499315,15.762206624735157,14.358934212758102,14.858817943929743,11.791806217615804,15.7004788587871,13.819773945539584,15.47173809979351,14.07212426492354,16.881406221917114,13.679046594690286,15.516185775722766,16.355934240507967,13.93256690672754,15.748647071055816,14.748199174996511,12.879786787157638,APOC2
Complement component C9,16.81727634234211,16.580904578659307,17.009981553433207,15.841677564137482,15.26875495351981,17.485407690779454,17.1681291300773,17.460512266482045,17.861061228970453,16.333044791353934,17.30943049439576,17.26083824015139,16.57868665743529,18.711032586571275,16.43043022385948,16.78650765448042,17.29500106545687,15.3517189208963,18.11074279449186,17.218988261203645,17.939895911692304,13.286817862919634,17.820918791009262,16.02841333521657,16.412450167548897,15.874026795130945,16.053441790259683,16.4163268908158,16.236976630301807,16.08023514737625,C9
Complement component C9 [Cleaved into: Complement component C9a; Complement component C9b],15.817276341842389,15.580904578659307,16.009981554089066,14.841677564383154,14.268754953154366,16.485407690779454,16.168129129489536,16.460512266162084,16.861061228364473,15.333044791179177,16.30943049439576,16.26083824015139,15.578686657435291,17.711032586235078,15.430430224022832,15.786507653969926,16.295001065815725,14.3517189208963,17.11074279500154,16.218988261581917,17.939895911692304,12.286817862775274,16.820918791009262,15.028413335432417,15.412450167548895,14.87402679489072,15.05344179004755,15.416326890650842,16.236976630301807,15.080235147168022,
Apolipoprotein D (Apo-D) (ApoD),13.909148303639284,13.409738781280048,15.112872161628408,13.732638681016304,15.747137747631363,14.300805232120354,14.727946792970704,15.999626190183848,15.416116975657111,15.61948518504299,15.334845301470413,16.156702268011312,15.386177372868945,17.484184628118356,14.420628929829771,14.357239946833,14.97303291000036,12.60673693149118,16.7982020198529,15.035660736058418,15.70258932110962,14.505515200471011,17.227044897425447,12.791270300407522,13.214198915494208,12.509556692614142,13.583688002283784,14.834318296263929,14.492828985453707,13.503802638047503,APOD
Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4),15.757987863190834,17.136458566561334,17.44159455654509,16.161499477685545,17.99512479455137,18.252161212230433,17.044285742386226,16.198182365124204,16.723790296462614,16.33570557829239,17.37608656170777,17.0209603700938,17.000211880274552,18.159663287560864,17.835271537563223,16.121456732701535,17.069952754805655,16.535116083667575,18.921839925003113,18.193539137399213,18.203937492066615,16.88494061679465,17.964635126832537,17.32602830907251,19.34105109920131,15.906525395619768,16.880427916236634,17.75559338603364,18.89082649155856,16.886126809807706,APOA4
