pathway_id,pathway_name,source,n_genes,mean_AD,mean_Control,diff,p_value,effect_size,abs_effect,direction,q_value,significant_fdr,significant,neg_log10_p
GO:0021537,telencephalon development,GO:BP,3,-0.1164,-0.1929,0.0765,0.0006507124051402688,-0.78,0.78,↑ in AD,0.20885445626541532,False,True,3.186610913824601
GO:0001867,"complement activation, lectin pathway",GO:BP,8,0.2619,0.3138,-0.0519,0.0014248228463931592,0.73,0.73,↓ in AD,0.20885445626541532,False,True,2.8462391297724015
GO:0045824,negative regulation of innate immune response,GO:BP,5,0.3744,0.4256,-0.0512,0.0016575750497255183,0.72,0.72,↓ in AD,0.20885445626541532,False,True,2.780526799005373
REAC:R-HSA-9657689,Defective SERPING1 causes hereditary angioedema,REAC,3,0.1349,0.1983,-0.0634,0.0029818378302928876,0.68,0.68,↓ in AD,0.2165824554524182,False,True,2.5255159797039757
GO:0004497,monooxygenase activity,GO:MF,3,0.0,-0.0656,0.0656,0.003277853381266256,-0.4,0.4,↑ in AD,0.2165824554524182,False,True,2.4844104763698818
WP:WP5089,Kinin Kallikrein pathway,WP,5,0.2434,0.2757,-0.0323,0.003437816753212987,0.67,0.67,↓ in AD,0.2165824554524182,False,True,2.4637172763369843
GO:0019731,antibacterial humoral response,GO:BP,3,-0.0494,0.0689,-0.1182,0.005212047135633487,0.64,0.64,↓ in AD,0.2814505453242083,False,True,2.2829916653591154
GO:0009152,purine ribonucleotide biosynthetic process,GO:BP,7,0.1551,0.3424,-0.1873,0.006811129279982587,0.62,0.62,↓ in AD,0.3218258584791773,False,True,2.166780876427094
GO:0002920,regulation of humoral immune response,GO:BP,8,0.3791,0.4002,-0.0211,0.011417221487911742,0.58,0.58,↓ in AD,0.36840692906630323,False,True,1.9424395737860696
GO:0042446,hormone biosynthetic process,GO:BP,3,0.0,-0.0662,0.0662,0.012696089153847243,-0.3,0.3,↑ in AD,0.36840692906630323,False,True,1.8963300365613405
GO:0003724,RNA helicase activity,GO:MF,3,0.0,-0.0939,0.0939,0.012696089153847243,-0.3,0.3,↑ in AD,0.36840692906630323,False,True,1.8963300365613405
GO:0051216,cartilage development,GO:BP,5,-0.3272,-0.2246,-0.1025,0.014619322581996158,0.56,0.56,↓ in AD,0.36840692906630323,False,True,1.8350727508882183
GO:1903829,positive regulation of protein localization,GO:BP,13,-0.3524,-0.3105,-0.0419,0.014619322581996158,0.56,0.56,↓ in AD,0.36840692906630323,False,True,1.8350727508882183
GO:0030879,mammary gland development,GO:BP,4,-0.4276,-0.3873,-0.0403,0.014619322581996158,0.56,0.56,↓ in AD,0.36840692906630323,False,True,1.8350727508882183
GO:1900076,regulation of cellular response to insulin stimulus,GO:BP,4,0.1556,0.1922,-0.0366,0.014619322581996158,0.56,0.56,↓ in AD,0.36840692906630323,False,True,1.8350727508882183
GO:0048598,embryonic morphogenesis,GO:BP,6,0.1742,0.267,-0.0928,0.01649925731113348,0.55,0.55,↓ in AD,0.3897949539755285,False,True,1.782535604448872
