protein_name,gene_symbol,uniprot_id
2-hydroxyacyl-CoA lyase (EC 4.1.2.63),HACL2,A1L0T0
"3'-5' exoribonuclease HELZ2 (EC 3.1.13.1) (ATP-dependent RNA helicase PRIC285) (EC 3.6.4.13) (Helicase with zinc finger 2, transcriptional coactivator) (Helicase with zinc finger domain 2) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein)",HELZ2,Q9BYK8
48 kDa protein,SNRNP48,Q6IEG0
78 kDa glucose-regulated protein (Binding-immunoglobulin protein) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),HSPA5,P11021
A kinase (PRKA) anchor protein 6,AKAP8,O43823
A-kinase anchor protein 9 (AKAP-9) (A-kinase anchor protein 350 kDa) (AKAP 350) (hgAKAP 350) (A-kinase anchor protein 450 kDa) (AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein) (CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9) (PRKA9) (Protein yotiao),AKAP9,Q99996
A-kinase anchoring protein 9,AKAP9,A0A7P0T939
ACTG1 protein,ACTG1,Q96FU6
AMP deaminase 3 (EC 3.5.4.6) (AMP deaminase isoform E) (Erythrocyte AMP deaminase),AMPD3,Q01432
ANKRD36 protein,ANKRD36,A1A5B0
APOB protein,APOB,P78482
APOL1,APOL1,A5PL32
APOL1 protein,APOL1,A5PL32
Actin beta,ACTB,E7EVS6
Actin gamma 1,ACTG1,A0A7P0TBL1
"Actin gamma 2, smooth muscle",ACTG2,B8ZZJ2
"Actin, alpha cardiac muscle 1 (Alpha-cardiac actin)",ACTC1,P68032
"Actin, alpha skeletal muscle (Alpha-actin-1)",ACTA1,P68133
"Actin, aortic smooth muscle (Alpha-actin-2)",ACTA2,P62736
"Actin, cytoplasmic 1 (Beta-actin)",ACTB,P60709
"Actin, cytoplasmic 2 (Gamma-actin)",ACTG1,P63261
"Actin, gamma-enteric smooth muscle (EC 3.6.4.-) (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]",ACTG2,P63267
"Actin, gamma-enteric smooth muscle (Gamma-2-actin) (Smooth muscle gamma-actin)",ACTG2,P63267
Adenylate kinase 6,AK6,D6RDH4
Adenylate kinase isoenzyme 6 (AK6) (EC 2.7.4.3) (Adrenal gland protein AD-004) (Coilin-interacting nuclear ATPase protein) (hCINAP) (Dual activity adenylate kinase/ATPase) (AK/ATPase),AK6,Q9Y3D8
Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G-protein coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta],ADGRV1,Q8WXG9
Afamin (Alpha-albumin) (Alpha-Alb),AFM,P43652
Alanine--glyoxylate aminotransferase (AGT) (SPT) (EC 2.6.1.44) (EC 2.6.1.51) (Serine--pyruvate aminotransferase),AGXT,P21549
Albumin,ALB,P02768
"All-trans-retinol 13,14-reductase (EC 1.3.99.23)",RETSAT,Q6NUM9
"All-trans-retinol 13,14-reductase (EC 1.3.99.23) (All-trans-13,14-dihydroretinol saturase) (RetSat) (PPAR-alpha-regulated and starvation-induced gene protein)",RETSAT,Q6NUM9
Alpha-1-acid glycoprotein 2 (AGP 2) (Orosomucoid-2) (OMD 2),ORM2,P19652
Alpha-2-HS-glycoprotein (Alpha-2-Z-globulin) (Ba-alpha-2-glycoprotein) (Fetuin-A) [Cleaved into: Alpha-2-HS-glycoprotein chain A; Alpha-2-HS-glycoprotein chain B],AHSG,P02765
Alpha-2-HS-glycoprotein (Fetuin-A),AHSG,P02765
Alpha-2-antiplasmin,SERPINF2,P08697
Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2),SERPINF2,P08697
"Alpha-2-glycoprotein 1, zinc-binding",AZGP1,C9JEV0
Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5),A2M,P01023
Alternative protein ARMCX4,ARMCX4,L8EAW9
Alternative protein DHX40,DHX40,L8EAD7
Angiotensinogen,AGT,P01019
Angiotensinogen (Serpin A8),AGT,P01019
Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV) (Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4],AGT,P01019
Ankyrin 2,ANK2,Q01484
Ankyrin repeat domain-containing protein SOWAHC (Ankyrin repeat domain-containing protein 57) (Protein sosondowah homolog C),SOWAHC,Q53LP3
Anti-(ED-B) scFV,BCL2L10,Q9HD36
Antithrombin-III (ATIII) (Serpin C1),SERPINC1,P01008
Antithrombin-III (Serpin C1),SERPINC1,P01008
Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4),APOA4,P06727
Apolipoprotein A-IV (Apolipoprotein A4),APOA4,P06727
Apolipoprotein C-I,APOC1,P02654
Apolipoprotein C-I (Apo-CI) (ApoC-I) (Apolipoprotein C1) [Cleaved into: Truncated apolipoprotein C-I],APOC1,P02654
Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2),APOC2,P02655
Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2) [Cleaved into: Proapolipoprotein C-II (ProapoC-II)],APOC2,P02655
Apolipoprotein C-III (Apo-CIII) (ApoC-III) (Apolipoprotein C3),APOC3,P02656
Apolipoprotein C-III (Apolipoprotein C3),APOC3,P02656
Apolipoprotein C2,APOC2,P02655
Apolipoprotein D,APOD,P05090
Apolipoprotein D (Apo-D) (ApoD),APOD,P05090
Apolipoprotein E,APOE,P02649
Apolipoprotein E (Apo-E),APOE,P02649
Apolipoprotein F (Apo-F) (Lipid transfer inhibitor protein) (LTIP),APOF,Q13790
Apolipoprotein L1,APOL1,O14791
Apolipoprotein L1 (Apolipoprotein L) (Apo-L) (ApoL) (Apolipoprotein L-I) (ApoL-I),APOL1,O14791
Apolipoprotein M,APOM,O95445
Apolipoprotein M (Apo-M) (ApoM) (Protein G3a),APOM,O95445
Artemin (Enovin) (Neublastin),ARTN,Q5T4W7
Attractin (DPPT-L) (Mahogany homolog),ATRNL1,Q5VV63
BAG family molecular chaperone regulator 1,BAG1,Q99933
BRE,BABAM2,Q9NXR7
Beta actin,ACTB,P60709
Beta-2-glycoprotein 1 (APC inhibitor) (Activated protein C-binding protein) (Anticardiolipin cofactor) (Apolipoprotein H) (Apo-H) (Beta-2-glycoprotein I) (B2GPI) (Beta(2)GPI),APOH,P02749
Beta-2-glycoprotein 1 (Apolipoprotein H) (Beta-2-glycoprotein I),APOH,P02749
Beta-2-microglobulin,B2M,P61769
Beta-actin,ACTB,P60709
Beta-globin,HBB,P68871
Biotinidase (Biotinase) (EC 3.5.1.12),BTD,P43251
"Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] (EC 3.6.1.17) (Diadenosine 5',5'''-P1,P4-tetraphosphate asymmetrical hydrolase) (Ap4A hydrolase) (Ap4Aase) (Diadenosine tetraphosphatase) (Nucleoside diphosphate-linked moiety X motif 2) (Nudix motif 2)",HEXIM2,Q96MH2
Bone-derived growth factor,BPGF-1,Q13876
C-X-C motif chemokine,CXCL14,O95715
C-reactive protein,CRP,P02741
C4b-binding protein alpha chain (C4bp) (Proline-rich protein) (PRP),C4BPA,P04003
C4b-binding protein beta chain,C4BPB,P20851
CD5 antigen-like (Apoptosis inhibitor expressed by macrophages) (hAIM) (CT-2) (IgM-associated peptide) (SP-alpha),CD5L,O43866
CD72 antigen,CD72,Q5TLF7
CD72 molecule,CD72,A0A6E1WA84
CYLC1 protein,CYLC1,Q3ZCV3
Cadherin 5,CDH5,P33151
Cadherin-5 (7B4 antigen) (Vascular endothelial cadherin) (VE-cadherin) (CD antigen CD144),CDH5,P33151
Cadherin-5 (Vascular endothelial cadherin),CDH5,P33151
Carboxypeptidase B2,CPB2,Q96IY4
Carboxypeptidase B2 (EC 3.4.17.20) (Carboxypeptidase U) (CPU) (Plasma carboxypeptidase B) (pCPB) (Thrombin-activable fibrinolysis inhibitor) (TAFI),CPB2,Q96IY4
Carboxypeptidase N catalytic chain (CPN) (EC 3.4.17.3) (Anaphylatoxin inactivator) (Arginine carboxypeptidase) (Carboxypeptidase N polypeptide 1) (Carboxypeptidase N small subunit) (Kininase-1) (Lysine carboxypeptidase) (Plasma carboxypeptidase B) (Serum carboxypeptidase N) (SCPN),CPN1,P15169
Carboxypeptidase N subunit 2 (Carboxypeptidase N 83 kDa chain) (Carboxypeptidase N large subunit) (Carboxypeptidase N polypeptide 2) (Carboxypeptidase N regulatory subunit),CPN2,P22792
Cartilage acidic protein 1,CRTAC1,Q9NQ79
