pathway_id,pathway_name,source,n_genes
GO:0110165,cellular anatomical structure,GO:CC,272
GO:0072562,blood microparticle,GO:CC,47
KEGG:05133,Pertussis,KEGG,14
WP:WP2806,Complement system,WP,32
GO:0048583,regulation of response to stimulus,GO:BP,109
GO:0004252,serine-type endopeptidase activity,GO:MF,38
GO:0140096,"catalytic activity, acting on a protein",GO:MF,73
GO:0032102,negative regulation of response to external stimulus,GO:BP,24
GO:0030141,secretory granule,GO:CC,43
GO:1905953,negative regulation of lipid localization,GO:BP,6
GO:0043603,amide metabolic process,GO:BP,7
WP:WP1533,Vitamin B12 metabolism,WP,9
REAC:R-HSA-1474244,Extracellular matrix organization,REAC,10
GO:0004867,serine-type endopeptidase inhibitor activity,GO:MF,16
GO:0016787,hydrolase activity,GO:MF,103
GO:0046330,positive regulation of JNK cascade,GO:BP,3
WP:WP5104,Acquired partial lipodystrophy Barraquer Simons syndrome,WP,3
GO:0007165,signal transduction,GO:BP,87
GO:0050922,negative regulation of chemotaxis,GO:BP,3
GO:0001848,complement binding,GO:MF,11
GO:0051050,positive regulation of transport,GO:BP,30
GO:0004857,enzyme inhibitor activity,GO:MF,30
GO:0001867,"complement activation, lectin pathway",GO:BP,8
GO:0008037,cell recognition,GO:BP,13
GO:0141061,disruption of cell in another organism,GO:BP,15
GO:0006954,inflammatory response,GO:BP,39
REAC:R-HSA-109582,Hemostasis,REAC,42
REAC:R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,REAC,10
REAC:R-HSA-166786,Creation of C4 and C2 activators,REAC,9
GO:0016485,protein processing,GO:BP,20
GO:0031089,platelet dense granule lumen,GO:CC,7
GO:0006909,phagocytosis,GO:BP,19
REAC:R-HSA-174577,Activation of C3 and C5,REAC,6
GO:0032677,regulation of interleukin-8 production,GO:BP,5
GO:0031410,cytoplasmic vesicle,GO:CC,66
GO:0051607,defense response to virus,GO:BP,4
GO:0071813,lipoprotein particle binding,GO:MF,5
GO:0010811,positive regulation of cell-substrate adhesion,GO:BP,5
GO:0009617,response to bacterium,GO:BP,31
GO:0002920,regulation of humoral immune response,GO:BP,8
GO:0006979,response to oxidative stress,GO:BP,16
WP:WP5089,Kinin Kallikrein pathway,WP,5
GO:0045807,positive regulation of endocytosis,GO:BP,13
GO:0033194,response to hydroperoxide,GO:BP,4
KEGG:05417,Lipid and atherosclerosis,KEGG,7
REAC:R-HSA-140875,Common Pathway of Fibrin Clot Formation,REAC,7
GO:0030175,filopodium,GO:CC,5
GO:0070820,tertiary granule,GO:CC,9
GO:0061024,membrane organization,GO:BP,10
GO:0015267,channel activity,GO:MF,6
GO:0071682,endocytic vesicle lumen,GO:CC,5
REAC:R-HSA-9657689,Defective SERPING1 causes hereditary angioedema,REAC,3
GO:0042581,specific granule,GO:CC,9
GO:0034366,spherical high-density lipoprotein particle,GO:CC,4
GO:0005509,calcium ion binding,GO:MF,28
GO:0043277,apoptotic cell clearance,GO:BP,7
REAC:R-HSA-166662,Lectin pathway of complement activation,REAC,4
GO:0010628,positive regulation of gene expression,GO:BP,35
GO:0001959,regulation of cytokine-mediated signaling pathway,GO:BP,3
GO:0086003,cardiac muscle cell contraction,GO:BP,3
GO:0044403,biological process involved in symbiotic interaction,GO:BP,11
GO:0009593,detection of chemical stimulus,GO:BP,4
GO:0048839,inner ear development,GO:BP,4
GO:0002697,regulation of immune effector process,GO:BP,17
REAC:R-HSA-390466,Chaperonin-mediated protein folding,REAC,3
GO:0019433,triglyceride catabolic process,GO:BP,5
GO:0017124,SH3 domain binding,GO:MF,3
GO:0051592,response to calcium ion,GO:BP,5
REAC:R-HSA-168898,Toll-like Receptor Cascades,REAC,7
GO:0030212,hyaluronan metabolic process,GO:BP,5
GO:0150172,regulation of phosphatidylcholine metabolic process,GO:BP,3
REAC:R-HSA-173736,Alternative complement activation,REAC,3
GO:0071695,anatomical structure maturation,GO:BP,4
GO:0050830,defense response to Gram-positive bacterium,GO:BP,7
