,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,pathway_name,source,n_genes
GO:0005615,0.1982530493830096,0.11438490257301305,0.15127675291491258,0.1406676293522391,0.1677059369796937,0.1750037780549097,0.20234117263118467,0.22969684852346278,0.18873874880654634,0.12007950117179561,0.2232030880316374,0.16804410795498878,0.1381633382571155,0.18382808989984553,0.17840801585600402,0.16247652651680422,0.20297227006382465,0.19650167181172234,0.24055378042781403,0.1832926501621425,0.21225248248436376,0.2334839052235763,0.20214927310153166,0.20009821745777373,0.16348996256019993,0.16238780614620502,0.11062265705082204,0.15917356711431388,0.15965183811246397,0.17863822320167128,extracellular space,GO:CC,159
GO:0072562,0.3386736831460674,0.28211518334852503,0.33779175350954505,0.30106273043686105,0.31642413783360984,0.3281278895789708,0.33005204273217725,0.33768183536348434,0.3234705143545971,0.3118404654549693,0.3429217307288684,0.32549455830937685,0.3239120794878816,0.3191559516173533,0.3305324095152039,0.3127496515328705,0.33240057124175887,0.36721453412751737,0.34846533516420075,0.3357199922706995,0.3269244020459508,0.3417897861501742,0.34010424259362687,0.3570524850557397,0.33356114420788896,0.33145263540765124,0.3221029679822218,0.34723160181300006,0.32118863500288675,0.32656742568536434,blood microparticle,GO:CC,47
GO:0005576,0.2181773544095363,0.125385069652436,0.1669860204212138,0.1394406510891465,0.16751895183310092,0.18543974707339275,0.20973933996761343,0.23400013120458413,0.215886361571117,0.1276646549367566,0.2430427734567411,0.16794253679502744,0.15057737765655033,0.19202850759886209,0.18321731763955124,0.1736335892358188,0.2156632807458823,0.23089621164417565,0.2683342601807855,0.2062794708421764,0.23141249333171382,0.2598046144273024,0.22316336539160697,0.21687704259584012,0.1756915721488202,0.16566873474399563,0.11923443844170192,0.17003960442181135,0.1789357933981782,0.19181481729389113,extracellular region,GO:CC,169
KEGG:04610,0.27168988091813234,0.22542476465081204,0.272601172879293,0.20945452157658415,0.2252097879791415,0.2646124998307917,0.25860029257609857,0.25787810950744533,0.28516015560840363,0.23298133964009385,0.2942708921837057,0.26412606634200547,0.23723347143404372,0.23149426048255714,0.2509902362021882,0.2544000413312852,0.2686687355370605,0.31698474062346943,0.29713922969609696,0.28369802848854453,0.2712760686227043,0.2950921289532277,0.2516417771035938,0.2853506003495529,0.2506786992187378,0.2318185450462876,0.2582011498357471,0.24516614162802602,0.25290569811744457,0.2568116709065322,Complement and coagulation cascades,KEGG,43
GO:0065010,0.24806683837935295,0.19586359272075807,0.2422650066542907,0.211147179687105,0.23201102447252958,0.24907718366895798,0.265368481342619,0.2781918510082767,0.25796169442849914,0.2137816623064916,0.267295132517489,0.2302529401161255,0.21976583660765528,0.24791345014069008,0.24912206619902136,0.23381769311516779,0.24936197140270513,0.24902627084744153,0.27722292028258405,0.24544129977522586,0.25908922278183644,0.27913249905327436,0.2564812622417989,0.2628199050667355,0.24386721498092973,0.22267118799313398,0.2002468309722331,0.23402376879219555,0.23353490943475855,0.2432099427973575,extracellular membrane-bounded organelle,GO:CC,120
GO:0043230,0.24806683837935295,0.19586359272075807,0.2422650066542907,0.211147179687105,0.23201102447252958,0.24907718366895798,0.265368481342619,0.2781918510082767,0.25796169442849914,0.2137816623064916,0.267295132517489,0.2302529401161255,0.21976583660765528,0.24791345014069008,0.24912206619902136,0.23381769311516779,0.24936197140270513,0.24902627084744153,0.27722292028258405,0.24544129977522586,0.25908922278183644,0.27913249905327436,0.2564812622417989,0.2628199050667355,0.24386721498092973,0.22267118799313398,0.2002468309722331,0.23402376879219555,0.23353490943475855,0.2432099427973575,extracellular organelle,GO:CC,120
GO:1903561,0.24806683837935295,0.19586359272075807,0.2422650066542907,0.211147179687105,0.23201102447252958,0.24907718366895798,0.265368481342619,0.2781918510082767,0.25796169442849914,0.2137816623064916,0.267295132517489,0.2302529401161255,0.21976583660765528,0.24791345014069008,0.24912206619902136,0.23381769311516779,0.24936197140270513,0.24902627084744153,0.27722292028258405,0.24544129977522586,0.25908922278183644,0.27913249905327436,0.2564812622417989,0.2628199050667355,0.24386721498092973,0.22267118799313398,0.2002468309722331,0.23402376879219555,0.23353490943475855,0.2432099427973575,extracellular vesicle,GO:CC,120
GO:0070062,0.24806683837935295,0.19586359272075807,0.2422650066542907,0.211147179687105,0.23201102447252958,0.24907718366895798,0.2691749707937438,0.2781918510082767,0.25796169442849914,0.2137816623064916,0.267295132517489,0.2302529401161255,0.21976583660765528,0.24791345014069008,0.24912206619902136,0.23381769311516779,0.24936197140270513,0.24902627084744153,0.28013310443047146,0.24544129977522586,0.2643776780123561,0.27913249905327436,0.2564812622417989,0.2628199050667355,0.24386721498092973,0.22267118799313398,0.2002468309722331,0.23823076802653642,0.23353490943475855,0.2432099427973575,extracellular exosome,GO:CC,118
GO:0006956,0.3012221195272292,0.28062699285148746,0.2999305618558323,0.24335794071888162,0.27026896253392624,0.2999301169874699,0.29505422334675635,0.2930491698460804,0.3072506075417466,0.26731044127634357,0.31731512927635086,0.2885328949463291,0.2668830944148651,0.27213101475946194,0.28951394935280017,0.2900458977569771,0.31127039796923445,0.33981924010744047,0.30576611530031766,0.3039001701118955,0.3113286948410316,0.31439137731795125,0.289347760045772,0.31669927961555777,0.27799962519549387,0.267574392699973,0.2956207016111644,0.2853057546670354,0.2800377291982784,0.2897968906456652,complement activation,GO:BP,34
GO:0031982,0.24057723633205805,0.18437432571361465,0.2293677738592276,0.1920361908301869,0.22020217195595196,0.23453179413774883,0.25759550628445255,0.2703302402864075,0.23640798604492486,0.20156714242030502,0.26007284839882605,0.20779591806848685,0.21012340607891608,0.2241932360132153,0.23863203589103216,0.22562312719081565,0.23735156098887525,0.22692716075880362,0.26062453922422846,0.2317742641334776,0.24991884089059985,0.2714631623700501,0.25023611004915136,0.25135586583985786,0.23313102571719485,0.2125661276116922,0.18785177737554107,0.2256561245150385,0.22371292329362047,0.2325511820143435,vesicle,GO:CC,142
