,pathway_name,source,n_genes,mean_AD,mean_Ctrl,diff
GO:0072522,purine-containing compound biosynthetic process,GO:BP,7,0.15514681881509662,0.3424218035892269,-0.1872749847741303
GO:0006164,purine nucleotide biosynthetic process,GO:BP,7,0.15514681881509662,0.3424218035892269,-0.1872749847741303
GO:0046390,ribose phosphate biosynthetic process,GO:BP,7,0.15514681881509662,0.3424218035892269,-0.1872749847741303
GO:0009260,ribonucleotide biosynthetic process,GO:BP,7,0.15514681881509662,0.3424218035892269,-0.1872749847741303
GO:0009152,purine ribonucleotide biosynthetic process,GO:BP,7,0.15514681881509662,0.3424218035892269,-0.1872749847741303
GO:0009165,nucleotide biosynthetic process,GO:BP,8,0.15514681881509662,0.3306665899889516,-0.17551977117385498
GO:1901293,nucleoside phosphate biosynthetic process,GO:BP,9,0.15514681881509662,0.321890478314316,-0.16674365949921938
GO:0019731,antibacterial humoral response,GO:BP,3,-0.049358891656238,0.06885696659598535,-0.11821585825222336
GO:0001539,cilium or flagellum-dependent cell motility,GO:BP,6,0.016845562363469384,-0.09400730153798353,0.11085286390145292
GO:0030317,flagellated sperm motility,GO:BP,6,0.016845562363469384,-0.09400730153798353,0.11085286390145292
GO:0060294,cilium movement involved in cell motility,GO:BP,6,0.016845562363469384,-0.09400730153798353,0.11085286390145292
GO:0097722,sperm motility,GO:BP,6,0.016845562363469384,-0.09400730153798353,0.11085286390145292
GO:0003341,cilium movement,GO:BP,6,0.016845562363469384,-0.09400730153798353,0.11085286390145292
GO:0060285,cilium-dependent cell motility,GO:BP,6,0.016845562363469384,-0.09400730153798353,0.11085286390145292
GO:0050829,defense response to Gram-negative bacterium,GO:BP,3,-0.1936873663591228,-0.08321367294176985,-0.11047369341735294
GO:0009259,ribonucleotide metabolic process,GO:BP,13,0.04677671958528922,0.156617224389901,-0.10984050480461177
GO:0019693,ribose phosphate metabolic process,GO:BP,13,0.04677671958528922,0.156617224389901,-0.10984050480461177
KEGG:01240,Biosynthesis of cofactors,KEGG,3,0.2212618760744987,0.3306665899889516,-0.10940471391445289
GO:0009117,nucleotide metabolic process,GO:BP,14,0.04677671958528922,0.15409714941552294,-0.10732042983023371
GO:0006163,purine nucleotide metabolic process,GO:BP,12,0.049950752888746744,0.156617224389901,-0.10666647150115426
GO:0072521,purine-containing compound metabolic process,GO:BP,12,0.049950752888746744,0.156617224389901,-0.10666647150115426
GO:0009150,purine ribonucleotide metabolic process,GO:BP,12,0.049950752888746744,0.156617224389901,-0.10666647150115426
GO:0006753,nucleoside phosphate metabolic process,GO:BP,15,0.04677671958528922,0.1494731930948779,-0.10269647350958866
GO:0055086,nucleobase-containing small molecule metabolic process,GO:BP,15,0.04677671958528922,0.1494731930948779,-0.10269647350958866
GO:0051216,cartilage development,GO:BP,5,-0.3271679751772117,-0.22464866867646024,-0.10251930650075144
GO:0098660,inorganic ion transmembrane transport,GO:BP,6,-0.22970392482096708,-0.12863590350333273,-0.10106802131763434
GO:0034220,monoatomic ion transmembrane transport,GO:BP,8,-0.22890587907523838,-0.12863590350333273,-0.10026997557190565
GO:0022612,gland morphogenesis,GO:BP,4,-0.2792084277508331,-0.37873708008618595,0.09952865233535285
GO:0001889,liver development,GO:BP,4,-0.2798845145270757,-0.3791709976167704,0.09928648308969473
GO:0061008,hepaticobiliary system development,GO:BP,4,-0.2798845145270757,-0.3791709976167704,0.09928648308969473
